ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
5365858,Opensource Co. BV,1,2024-09-02,393,3,2022-01-05,2024-12-19,0.007633587786259542,1079
1382154,Logicalis GmbH,1,2023-09-05,391,3,2022-01-06,2024-12-24,0.0076726342710997444,1083
20931558,Winner Engineering Pte. Ltd.,1,2024-09-03,390,1,2022-01-04,2024-12-21,0.002564102564102564,1082
980019,"WSP USA, Inc.",1,2023-06-17,390,3,2022-01-01,2024-11-19,0.007692307692307693,1053
1410875,Ghana Ministry of Manpower Development & Social Welfare,1,2023-08-24,388,1,2022-01-28,2023-10-25,0.002577319587628866,635
93953448,GRACE HR SOLUTIONS LTD,1,2024-02-16,388,9,2022-12-02,2024-12-29,0.023195876288659795,758
1193006,Singapore American School,1,2022-04-06,388,15,2022-01-06,2024-12-24,0.03865979381443299,1083
1270580,Anotech Energy SAS (France),1,2022-01-25,388,12,2022-01-03,2024-07-16,0.030927835051546393,925
20795554,Aryan Solutions,1,2022-04-05,387,2,2022-01-01,2024-12-19,0.00516795865633075,1083
5759707,Quantumsys Technologies Pte Ltd.,1,2022-01-20,386,1,2022-01-07,2023-11-01,0.0025906735751295338,663
47589,"Skyworks Solutions, Inc.",1,2022-11-10,386,2,2022-01-06,2024-12-27,0.0051813471502590676,1086
22258105,Michael Bailey Associates Ltd.,1,2022-02-15,385,5,2022-01-04,2024-05-17,0.012987012987012988,864
1416824,The Toronto-Dominion Bank,1,2022-02-15,382,3,2022-01-13,2024-12-24,0.007853403141361256,1076
856960,"Cargill, Inc.",1,2023-02-14,381,4,2022-01-06,2024-12-30,0.010498687664041995,1089
283173,Singapore Aero Engine Services Pte Ltd.,1,2024-09-23,380,1,2022-01-05,2024-12-19,0.002631578947368421,1079
93268881,Greenmark Construction,1,2024-03-09,380,1,2022-01-10,2024-12-31,0.002631578947368421,1086
905574,ENGIE SA,1,2022-04-29,379,31,2022-01-08,2024-12-20,0.08179419525065963,1077
421160,Resorts World at Sentosa Pte Ltd.,1,2022-08-20,379,5,2022-01-05,2024-11-19,0.013192612137203167,1049
1191500,Wells Fargo & Co.,1,2022-04-25,375,1,2022-01-05,2024-12-06,0.0026666666666666666,1066
5503938,Percept Solutions Pte Ltd.,1,2024-04-12,374,2,2022-01-05,2024-12-18,0.0053475935828877,1078
187956,The North London Collegiate School,1,2023-02-01,372,39,2022-01-20,2024-12-20,0.10483870967741936,1065
81844,"ISS Facility Services, Inc.",1,2024-04-30,372,1,2022-01-04,2024-09-24,0.002688172043010753,994
19034939,TechWare Group,1,2023-05-15,372,1,2022-01-07,2024-12-27,0.002688172043010753,1085
1159801,Société Générale SA,1,2023-04-20,371,1,2022-01-01,2024-12-27,0.0026954177897574125,1091
488025,Target Recruitment,1,2022-05-09,371,6,2022-01-03,2024-12-12,0.016172506738544475,1074
20923338,Panasonic Holdings Corp.,1,2022-09-04,369,3,2022-01-05,2024-12-31,0.008130081300813009,1091
4543619,KSC Consultants Pte Ltd,1,2022-01-07,369,6,2022-01-06,2024-12-16,0.016260162601626018,1075
1368161,"H & S Automotives, Inc.",1,2022-01-19,368,1,2022-01-01,2024-12-23,0.002717391304347826,1087
1084122,Nestlé SA,1,2022-04-01,368,13,2022-01-04,2024-12-30,0.035326086956521736,1091
